dataset,subset,algorithm,param,subset_size,silhouette_native,silhouette_common,ARI,AMI,CH,DB,clustering_runtime
StackOverflow,small,k_prototypes,2,2000,0.0964510515332222,0.10099421907428117,0.13342539985124033,0.15472210331586814,127.25588092380342,3.3636601802204695,1.5073001384735107
StackOverflow,small,agg_gower,2,2000,0.37328508496284485,0.106824805453611,0.008894565188363924,0.006020096967318831,174.6271852039517,3.1128151728378017,0.04624581336975098
StackOverflow,small,k_medoids,2,2000,0.2448599636554718,0.07749279265578607,0.02063100906409273,0.02551872102224791,120.5104676824151,3.8157255412796416,0.03284502029418945
StackOverflow,small,famd_kmeans,2,2000,0.10861418579189454,0.10861418579189454,0.010362106293693725,0.007306692435811116,175.30060622529157,3.1207787770483244,0.06125926971435547
StackOverflow,small,k_prototypes,3,2000,0.09558235108852386,0.08950458963126157,0.15613089616057063,0.1766676488189825,100.98248563590339,2.6587931775291387,1.5757269859313965
StackOverflow,small,agg_gower,3,2000,0.48109936714172363,0.14328019101754344,0.0049049277627095005,0.013888322225235464,189.64214971217314,2.5354699278643715,0.04654645919799805
StackOverflow,small,k_medoids,3,2000,0.19750942289829254,0.06807596195480349,0.01937324419237818,0.041545151878413594,104.94189598145076,3.5503948644694034,0.019757509231567383
StackOverflow,small,famd_kmeans,3,2000,0.13924932793565747,0.13924932793565747,0.009154208601048345,0.006820960608453758,164.73676480235298,2.705389489973026,0.00714111328125
StackOverflow,small,k_prototypes,4,2000,0.06434434652328491,0.08035378907464957,0.2017396047075884,0.2265503505623046,84.25296025967826,2.936586623092241,2.660738945007324
StackOverflow,small,agg_gower,4,2000,0.44060125946998596,0.14435999054864912,0.005060297854269754,0.015093101492896152,132.36373337253548,2.2550664837932466,0.05393505096435547
StackOverflow,small,k_medoids,4,2000,0.21841886639595032,0.07668837154687558,0.016985209233086086,0.04784520435839436,121.28458291146954,2.911500623016212,0.020918607711791992
StackOverflow,small,famd_kmeans,4,2000,0.2108336869682424,0.2108336869682424,0.007681207358871296,0.0073555252758737335,201.07752334523352,2.033610821627368,0.006490230560302734
StackOverflow,small,k_prototypes,5,2000,0.06546035408973694,0.050667996465699645,0.14973224258219506,0.2123274401402976,78.26694061544067,3.36005582463786,2.987915277481079
StackOverflow,small,agg_gower,5,2000,0.3192596435546875,0.13543052503130396,0.009366742135257613,0.018441860589309505,115.345579596957,2.157790439680155,0.045922279357910156
StackOverflow,small,k_medoids,5,2000,0.1337626576423645,0.08428577354540208,0.04014906749336628,0.07024890728201649,102.88275762107321,3.0554389571355762,0.014342546463012695
StackOverflow,small,famd_kmeans,5,2000,0.2466495917256163,0.2466495917256163,0.009058568400018932,0.006490816636328227,223.13222994222755,1.6849285514153411,0.005212068557739258
StackOverflow,small,k_prototypes,6,2000,0.0792505219578743,0.05334898352618477,0.11423083269423044,0.18836595917476387,74.77285171994785,3.3945736046142083,3.0005991458892822
StackOverflow,small,agg_gower,6,2000,0.22599667310714722,0.11851546022295528,0.01351887201574508,0.019087347806127947,111.63898502829642,2.029249732621101,0.04646611213684082
StackOverflow,small,k_medoids,6,2000,0.16358542442321777,0.09738140847622688,0.037180800076826497,0.07689807756499238,99.62070480648792,2.7881172522678455,0.014249563217163086
StackOverflow,small,famd_kmeans,6,2000,0.301413777361533,0.301413777361533,0.005139625122623525,0.006942964280393776,251.81472186966406,1.544132524648713,0.006684780120849609
StackOverflow,small,k_prototypes,7,2000,0.04803471267223358,0.042953721763862106,0.1295725492771845,0.22508222333424582,69.7613797729828,3.2644401272182835,2.6488237380981445
StackOverflow,small,agg_gower,7,2000,0.2497456669807434,0.1439131553690821,0.0161693166416107,0.023024419333054123,122.1859307677722,1.9614362904242506,0.04508376121520996
StackOverflow,small,k_medoids,7,2000,0.18265271186828613,0.10529723768655865,0.03599061321929779,0.07305604872714426,102.0728462569999,2.4772242259758523,0.017277002334594727
StackOverflow,small,famd_kmeans,7,2000,0.31190120645370556,0.31190120645370556,0.009469002564159437,0.00924087740230781,289.63716749145925,1.3413099196947376,0.005095243453979492
StackOverflow,small,k_prototypes,8,2000,0.010477175004780293,0.02805743110334777,0.1352966660944209,0.23515668118213656,58.263429120418756,3.5839402194769256,2.6703126430511475
StackOverflow,small,agg_gower,8,2000,0.25325626134872437,0.14160683616685257,0.016006451527056317,0.022639785804117605,119.8150264496772,1.7836423523654072,0.04573512077331543
StackOverflow,small,k_medoids,8,2000,0.25598880648612976,0.12567673224341913,0.021695217558554792,0.047016093038428367,95.69288635290242,2.3475032199857813,0.012295722961425781
StackOverflow,small,famd_kmeans,8,2000,0.42080957974501343,0.42080957974501343,0.004253234820829843,0.009635561235041092,340.7702042756863,1.1914962725152591,0.006512641906738281
StackOverflow,small,k_prototypes,9,2000,0.07750692218542099,0.05829985622502859,0.12700280914560272,0.2187873603670317,69.0096786111223,3.160275498836117,3.834040403366089
StackOverflow,small,agg_gower,9,2000,0.25640755891799927,0.1476322808920961,0.018542112452708027,0.02216602924068456,123.07582370907255,1.6571263083595031,0.060332298278808594
StackOverflow,small,k_medoids,9,2000,0.3262341618537903,0.15600599041723434,0.019741944889744956,0.0507353497279889,110.84370215838076,2.1188712545191177,0.030514240264892578
StackOverflow,small,famd_kmeans,9,2000,0.43925048790062066,0.43925048790062066,0.005002600341237882,0.008850947003100525,409.65652921711217,1.0398961442819727,0.006741762161254883
StackOverflow,small,k_prototypes,10,2000,0.028580371290445328,0.04071647393855646,0.11400199239185513,0.22210082613307391,64.42463792569205,3.4939278366546134,3.403846025466919
StackOverflow,small,agg_gower,10,2000,0.28780025243759155,0.15291988255485298,0.024178991874844576,0.022463032439971425,128.44749206926883,1.5827294757080121,0.0656270980834961
